v0.1.0,2020.07.13,ティザーサイトがオープンしました,アイデア発想ツール、Ideashの記念すべき初リリースです！<br>これからもIdeashの成長にご期待ください。
v0.2.0,2020.07.13,アカウントの管理とメモが出来るようになりました,new_func,アカウント管理機能,アカウントの作成、管理ができます,メモ機能,新しいアイデア手法です
v0.2.1,2020.07.17,トップ画面が見やすくなりました,トップ画面のフォント、レイアウトを変更しました。
v0.3.0,2020.08.18,ブレインストーミング機能を試せるようになりました,new_func,ブレインストーミング機能β,新しいアイデア手法です
