品詞,見出し語要素,一般語彙ランク
名詞-普通名詞-一般,足元,3016
名詞-普通名詞-一般,唇,2795
名詞-普通名詞-一般,一斉,3307
名詞-普通名詞-一般,グラス-glass,3102
名詞-普通名詞-一般,銃,3183
名詞-普通名詞-一般,女房,3164
名詞-普通名詞-サ変可能,警戒,3272
名詞-普通名詞-一般,頬,2928
名詞-普通名詞-一般,煙,3115
名詞-普通名詞-一般,帝,3370
名詞-普通名詞-サ変可能,始末,3231
名詞-普通名詞-一般,脚,3302
名詞-普通名詞-一般,行方,3337
名詞-普通名詞-一般,裸,3260
名詞-普通名詞-一般,驚き,3482
名詞-普通名詞-一般,ルーム,3212
名詞-普通名詞-一般,鼠,3478
名詞-普通名詞-一般,騒ぎ,3453
名詞-普通名詞-一般,氷,3318
名詞-普通名詞-サ変可能,沈黙,3419
名詞-普通名詞-一般,精,3535
名詞-普通名詞-一般,止め,3311
名詞-普通名詞-一般,掌,3338
名詞-普通名詞-一般,隙間,3203
名詞-普通名詞-一般,虎,3328
名詞-普通名詞-一般,顎,3213
名詞-普通名詞-一般,仕舞い,3494
名詞-普通名詞-一般,カウンター,3361
名詞-普通名詞-一般,甲斐,3537
名詞-普通名詞-一般,半身,3510
名詞-普通名詞-一般,中年,3694
名詞-普通名詞-形状詞可能,皮肉,3887
名詞-普通名詞-一般,溜め息,3492
名詞-普通名詞-一般,燐,3599
名詞-普通名詞-一般,弾,3886
名詞-普通名詞-形状詞可能,派手,3654
名詞-普通名詞-一般,片手,3678
名詞-普通名詞-一般,毒,3912
名詞-普通名詞-サ変可能,同情,3848
名詞-普通名詞-一般,助手,3858
名詞-普通名詞-一般,当て,3722
名詞-普通名詞-副詞可能,彼是,3962
名詞-普通名詞-一般,羽根,3766
名詞-普通名詞-サ変可能,沙汰,3809
名詞-普通名詞-一般,侍,3818
名詞-普通名詞-一般,矢,3949
名詞-普通名詞-サ変可能,奉行,4167
名詞-普通名詞-一般,帆,3822
名詞-普通名詞-サ変可能,動揺,4329
名詞-普通名詞-サ変形状詞可能,乱暴,4094
名詞-普通名詞-一般,一同,4241
名詞-普通名詞-一般,皺,3762
名詞-普通名詞-一般,喋り,4062
名詞-普通名詞-一般,狼,4184
名詞-普通名詞-一般,見当,4012
名詞-普通名詞-一般,座敷,4177
名詞-普通名詞-サ変可能,探偵,3879
名詞-普通名詞-一般,手足,4231
名詞-固有名詞-地名-一般,オウジ,4156
名詞-普通名詞-一般,ソファー,3890
名詞-普通名詞-一般,仕草,4114
名詞-普通名詞-一般,遺体,4427
名詞-普通名詞-一般,顔色,4075
名詞-普通名詞-一般,瞳,3870
名詞-普通名詞-一般,香,4034
名詞-普通名詞-サ変可能,目撃,4049
名詞-普通名詞-一般,紳士,4316
名詞-普通名詞-一般,駅前,4209
名詞-普通名詞-一般,通路,4238
名詞-普通名詞-一般,望み,4274
名詞-普通名詞-一般,眼差し,4488
名詞-普通名詞-一般,獣,4164
名詞-普通名詞-一般,懐,4290
名詞-普通名詞-一般,群れ,4578
名詞-普通名詞-一般,警視,4352
名詞-普通名詞-一般,正体,4251
名詞-普通名詞-一般,魔法,4132
名詞-普通名詞-一般,霧,4489
名詞-普通名詞-形状詞可能,やくざ,4381
名詞-普通名詞-一般,道場,4406
名詞-普通名詞-一般,無言,4153
名詞-普通名詞-形状詞可能,不意,4079
名詞-普通名詞-一般,鉄砲,4673
名詞-普通名詞-一般,拳,4218
名詞-普通名詞-サ変可能,予感,4505
名詞-普通名詞-一般,槍,4265
名詞-普通名詞-一般,眉,4138
名詞-普通名詞-一般,潮,4466
名詞-普通名詞-一般,坊主,4440
名詞-普通名詞-サ変可能,用心,4326
名詞-普通名詞-一般,吉,4394
名詞-普通名詞-一般,寝室,4342
名詞-普通名詞-一般,恨み,4633
名詞-普通名詞-副詞可能,内心,4599
名詞-普通名詞-一般,ロープ,4751
名詞-普通名詞-一般,容疑,4525
名詞-普通名詞-一般,袖,4524
名詞-普通名詞-一般,塀,4742
名詞-普通名詞-一般,刃,4625
名詞-普通名詞-一般,住人,4537
名詞-普通名詞-一般,何者,4540
名詞-普通名詞-一般,野郎,4332
名詞-普通名詞-一般,皇子,4803
名詞-普通名詞-一般,柵,4832
名詞-普通名詞-サ変可能,頂戴,4454
名詞-普通名詞-一般,即座,5161
名詞-普通名詞-一般,泡,4791
名詞-普通名詞-形状詞可能,不審,4816
名詞-普通名詞-一般,ロビー,4984
名詞-普通名詞-一般,名刺,4942
名詞-普通名詞-一般,視界,4674
名詞-普通名詞-一般,翼,5031
名詞-普通名詞-一般,蜘蛛,4615
名詞-普通名詞-一般,女中,5243
名詞-普通名詞-一般,兵隊,5272
名詞-普通名詞-一般,顔付き,4719
名詞-普通名詞-一般,天狗,4987
名詞-普通名詞-一般,灰色,4853
名詞-普通名詞-一般,裾,4696
名詞-普通名詞-一般,居間,4858
名詞-普通名詞-サ変可能,合図,4936
名詞-普通名詞-一般,悲鳴,4656
名詞-普通名詞-一般,真相,5317
名詞-普通名詞-一般,デスク,5071
名詞-普通名詞-サ変可能,苦笑,4527
名詞-普通名詞-一般,指先,4749
名詞-普通名詞-サ変可能,安堵,5363
名詞-普通名詞-一般,愛想,4846
名詞-普通名詞-一般,知らせ,4967
名詞-普通名詞-一般,別荘,5308
名詞-普通名詞-一般,店内,5376
名詞-普通名詞-一般,手首,4995
名詞-普通名詞-一般,乳房,5122
名詞-普通名詞-一般,真っ先,5443
名詞-普通名詞-一般,感触,5128
名詞-普通名詞-サ変可能,微笑,5086
名詞-普通名詞-一般,検事,5578
名詞-普通名詞-サ変可能,推理,5303
名詞-普通名詞-サ変可能,浪人,5140
名詞-普通名詞-一般,仮面,5241
名詞-普通名詞-一般,甲板,5635
名詞-普通名詞-サ変可能,容赦,5547
名詞-普通名詞-一般,女将,5321
名詞-普通名詞-一般,警部,5073
名詞-普通名詞-サ変可能,油断,5437
名詞-普通名詞-一般,方角,5518
名詞-普通名詞-一般,瞼,5131
名詞-普通名詞-一般,尻尾,5435
名詞-普通名詞-一般,亭主,5538
名詞-普通名詞-一般,襟,5554
名詞-固有名詞-地名-国,蘭,5552
名詞-普通名詞-一般,三郎,5482
名詞-普通名詞-一般,疾っく,5338
名詞-普通名詞-一般,障子,5923
名詞-普通名詞-形状詞可能,同然,5652
名詞-普通名詞-一般,歩道,5417
名詞-普通名詞-一般,大佐,5970
名詞-普通名詞-一般,背筋,5429
名詞-普通名詞-一般,勘,5702
名詞-普通名詞-一般,路地,5910
名詞-普通名詞-一般,暗闇,5952
名詞-普通名詞-一般,足音,5354
名詞-普通名詞-一般,犯行,5682
名詞-普通名詞-サ変可能,応接,6047
名詞-普通名詞-副詞可能,一刻,5880
名詞-普通名詞-副詞可能,今頃,5281
