品詞,見出し語要素,一般語彙ランク
名詞-普通名詞-一般,インターホン,14985
名詞-普通名詞-一般,軍曹,15156
名詞-普通名詞-一般,若僧,14877
名詞-普通名詞-一般,多聞,15754
名詞-普通名詞-サ変可能,覆面,14673
名詞-普通名詞-一般,夜叉,15260
名詞-普通名詞-一般,襦袢,15993
名詞-普通名詞-一般,執事,15501
名詞-普通名詞-一般,ミセス,15074
名詞-普通名詞-一般,耳朶,14928
名詞-普通名詞-一般,怒声,16004
名詞-普通名詞-一般,腕組み,15179
名詞-普通名詞-一般,小走り,15550
名詞-普通名詞-副詞可能,事は,15581
名詞-普通名詞-一般,曹長,15586
名詞-普通名詞-一般,女体,15503
名詞-普通名詞-一般,物思い,16016
名詞-普通名詞-サ変可能,堪忍,15888
名詞-普通名詞-一般,脇の下,14806
名詞-普通名詞-一般,藍,13110
名詞-普通名詞-サ変可能,身震い,15596
名詞-普通名詞-サ変可能,哀願,16528
名詞-普通名詞-サ変可能,手招き,16038
名詞-普通名詞-一般,下男,16168
名詞-普通名詞-一般,手の甲,15527
名詞-普通名詞-一般,馬子,15759
名詞-普通名詞-一般,蹄,16370
名詞-普通名詞-一般,喉元,16117
名詞-普通名詞-一般,人垣,16864
名詞-普通名詞-一般,本城,16314
名詞-普通名詞-一般,忍び,15830
名詞-普通名詞-一般,人魚,16595
名詞-普通名詞-一般,札束,16911
名詞-普通名詞-一般,ペンション,16364
名詞-普通名詞-一般,触手,16842
名詞-普通名詞-一般,物の怪,16736
名詞-普通名詞-一般,夜更け,16819
名詞-普通名詞-一般,素っ裸,16287
名詞-普通名詞-一般,頃合い,16515
名詞-普通名詞-一般,殺し屋,16267
名詞-普通名詞-一般,剣幕,16233
名詞-普通名詞-一般,ステッキ,17150
名詞-普通名詞-一般,帳場,17431
名詞-普通名詞-一般,酸漿,16942
名詞-普通名詞-一般,ボディーガード,16412
名詞-普通名詞-一般,アジアン,16598
名詞-普通名詞-一般,高瀬,16964
名詞-普通名詞-サ変可能,微動,17378
名詞-普通名詞-一般,無風,16686
名詞-普通名詞-一般,鮮血,17068
名詞-普通名詞-一般,トロッコ,16992
名詞-普通名詞-一般,声音,17297
名詞-普通名詞-一般,突き当たり,17347
名詞-普通名詞-一般,東雲,17551
名詞-普通名詞-一般,聞き込み,17367
名詞-普通名詞-一般,咳払い,17076
名詞-普通名詞-サ変可能,嗚咽,17889
名詞-普通名詞-サ変可能,詮議,17638
名詞-普通名詞-一般,面相,17759
名詞-普通名詞-一般,香菜,17325
名詞-普通名詞-一般,樹海,17282
